prompt,categories,topic_domain,intent_type,confidence,token_count,best_model,true_category
Compare different machine learning frameworks (variation 831),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",7,GLM4.5,technical
Compare different version control strategies (variation 431),['coding'],technical,question,"{'category': 1.0, 'domain': 0.375, 'intent': 0.0, 'overall': 0.8541666666666666}",7,GLM4.5,technical
Analyze software testing methodologies (variation 582),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,GLM4.5,technical
Compare different API design paradigms (variation 940),"['coding', 'reasoning']",technical,question,"{'category': 0.4, 'domain': 0.25, 'intent': 0.0, 'overall': 0.25}",7,TNG DeepSeek,technical
Explain neural network architectures (variation 335),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Analyze cybersecurity threat landscapes (variation 266),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,Qwen3,technical
Compare microservices vs monolithic architectures (variation 668),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",7,GLM4.5,technical
Analyze network security vulnerabilities and mitigation (variation 754),['reasoning'],technical,reasoning_task,"{'category': 0.5, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4583333333333333}",8,Qwen3,technical
Explain neural network architectures (variation 101),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,TNG DeepSeek,technical
Review quantum computing developments and applications (variation 751),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",8,GLM4.5,technical
Compare different machine learning frameworks (variation 381),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",7,GLM4.5,technical
Analyze big data processing frameworks (variation 317),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,GLM4.5,technical
Evaluate data warehouse design approaches (variation 442),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7083333333333334}",7,GLM4.5,technical
Explain how blockchain consensus mechanisms work (variation 528),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,GLM4.5,technical
Compare different version control strategies (variation 875),['coding'],technical,question,"{'category': 1.0, 'domain': 0.375, 'intent': 0.0, 'overall': 0.8541666666666666}",7,Qwen3,technical
Compare different version control strategies (variation 602),['coding'],technical,question,"{'category': 1.0, 'domain': 0.375, 'intent': 0.0, 'overall': 0.8541666666666666}",7,GLM4.5,technical
Compare microservices vs monolithic architectures (variation 919),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",7,GLM4.5,technical
Compare different machine learning frameworks (variation 747),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",7,TNG DeepSeek,technical
Analyze cybersecurity threat landscapes (variation 799),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,Qwen3,technical
Analyze big data processing frameworks (variation 698),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,TNG DeepSeek,technical
Explain how blockchain consensus mechanisms work (variation 789),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,Qwen3,technical
Explain neural network architectures (variation 802),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,TNG DeepSeek,technical
Analyze network security vulnerabilities and mitigation (variation 783),['reasoning'],technical,reasoning_task,"{'category': 0.5, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4583333333333333}",8,GLM4.5,technical
Assess the performance of various sorting algorithms (variation 510),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,GLM4.5,technical
Explain how blockchain consensus mechanisms work (variation 800),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,Qwen3,technical
Explain how blockchain consensus mechanisms work (variation 412),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,TNG DeepSeek,technical
Compare different cloud computing architectures (variation 192),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",7,GLM4.5,technical
Evaluate data warehouse design approaches (variation 107),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7083333333333334}",7,GLM4.5,technical
Assess the performance of various sorting algorithms (variation 244),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,GLM4.5,technical
Explain neural network architectures (variation 866),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Compare different version control strategies (variation 604),['coding'],technical,question,"{'category': 1.0, 'domain': 0.375, 'intent': 0.0, 'overall': 0.8541666666666666}",7,GLM4.5,technical
Evaluate data warehouse design approaches (variation 73),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7083333333333334}",7,Qwen3,technical
Assess the performance of various sorting algorithms (variation 590),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,GLM4.5,technical
Analyze big data processing frameworks (variation 299),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,TNG DeepSeek,technical
Evaluate data warehouse design approaches (variation 149),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7083333333333334}",7,Qwen3,technical
Evaluate data warehouse design approaches (variation 280),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7083333333333334}",7,GLM4.5,technical
Compare different API design paradigms (variation 376),"['coding', 'reasoning']",technical,question,"{'category': 0.4, 'domain': 0.25, 'intent': 0.0, 'overall': 0.25}",7,GLM4.5,technical
Review quantum computing developments and applications (variation 925),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",8,GLM4.5,technical
Explain container orchestration with Kubernetes (variation 573),"['coding', 'reasoning']",technical,reasoning_task,"{'category': 0.4, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",7,GLM4.5,technical
Review quantum computing developments and applications (variation 330),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",8,GLM4.5,technical
Analyze network security vulnerabilities and mitigation (variation 111),['reasoning'],technical,reasoning_task,"{'category': 0.5, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4583333333333333}",8,Qwen3,technical
Analyze software testing methodologies (variation 710),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,Qwen3,technical
Analyze network security vulnerabilities and mitigation (variation 539),['reasoning'],technical,reasoning_task,"{'category': 0.5, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4583333333333333}",8,Qwen3,technical
Explain how blockchain consensus mechanisms work (variation 189),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,Qwen3,technical
Analyze network security vulnerabilities and mitigation (variation 503),['reasoning'],technical,reasoning_task,"{'category': 0.5, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4583333333333333}",8,Qwen3,technical
Evaluate different database management systems (variation 819),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,GLM4.5,technical
Assess the performance of various sorting algorithms (variation 114),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,Qwen3,technical
Evaluate serverless computing architectures (variation 986),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",6,Qwen3,technical
Assess the performance of various sorting algorithms (variation 334),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,TNG DeepSeek,technical
Evaluate data warehouse design approaches (variation 798),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7083333333333334}",7,GLM4.5,technical
Compare microservices vs monolithic architectures (variation 211),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",7,GLM4.5,technical
Compare microservices vs monolithic architectures (variation 472),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",7,TNG DeepSeek,technical
Explain cryptocurrency mining mechanisms (variation 109),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Assess the performance of various sorting algorithms (variation 681),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,Qwen3,technical
Evaluate edge computing vs cloud computing (variation 325),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",8,TNG DeepSeek,technical
Explain neural network architectures (variation 327),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,TNG DeepSeek,technical
Evaluate serverless computing architectures (variation 622),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",6,GLM4.5,technical
Analyze big data processing frameworks (variation 602),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,TNG DeepSeek,technical
Analyze cybersecurity threat landscapes (variation 746),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,Qwen3,technical
Compare different API design paradigms (variation 504),"['coding', 'reasoning']",technical,question,"{'category': 0.4, 'domain': 0.25, 'intent': 0.0, 'overall': 0.25}",7,GLM4.5,technical
Explain cryptocurrency mining mechanisms (variation 929),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Compare different machine learning frameworks (variation 329),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",7,TNG DeepSeek,technical
Analyze network security vulnerabilities and mitigation (variation 886),['reasoning'],technical,reasoning_task,"{'category': 0.5, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4583333333333333}",8,GLM4.5,technical
Evaluate serverless computing architectures (variation 2),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",6,Qwen3,technical
Explain cryptocurrency mining mechanisms (variation 711),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Evaluate different database management systems (variation 998),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,GLM4.5,technical
Compare microservices vs monolithic architectures (variation 959),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",7,GLM4.5,technical
Explain how blockchain consensus mechanisms work (variation 888),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,GLM4.5,technical
Explain how blockchain consensus mechanisms work (variation 747),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,GLM4.5,technical
Evaluate edge computing vs cloud computing (variation 74),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",8,GLM4.5,technical
Analyze software testing methodologies (variation 676),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,TNG DeepSeek,technical
Explain cryptocurrency mining mechanisms (variation 533),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Evaluate edge computing vs cloud computing (variation 459),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",8,GLM4.5,technical
Assess the performance of various sorting algorithms (variation 205),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,GLM4.5,technical
Evaluate different database management systems (variation 687),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,GLM4.5,technical
Explain neural network architectures (variation 974),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Evaluate different database management systems (variation 442),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,TNG DeepSeek,technical
Compare different cloud computing architectures (variation 64),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",7,GLM4.5,technical
Explain cryptocurrency mining mechanisms (variation 714),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,TNG DeepSeek,technical
Analyze big data processing frameworks (variation 257),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,TNG DeepSeek,technical
Explain how blockchain consensus mechanisms work (variation 38),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,GLM4.5,technical
Analyze big data processing frameworks (variation 571),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,TNG DeepSeek,technical
Evaluate different database management systems (variation 383),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,Qwen3,technical
Analyze software testing methodologies (variation 48),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,GLM4.5,technical
Evaluate serverless computing architectures (variation 56),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",6,Qwen3,technical
Evaluate different database management systems (variation 728),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,GLM4.5,technical
Explain how blockchain consensus mechanisms work (variation 793),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,Qwen3,technical
Compare different machine learning frameworks (variation 746),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",7,TNG DeepSeek,technical
Evaluate data warehouse design approaches (variation 316),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7083333333333334}",7,GLM4.5,technical
Compare different version control strategies (variation 2),['coding'],technical,question,"{'category': 1.0, 'domain': 0.375, 'intent': 0.0, 'overall': 0.8541666666666666}",7,Qwen3,technical
Analyze software testing methodologies (variation 956),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,GLM4.5,technical
Analyze software testing methodologies (variation 561),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,GLM4.5,technical
Explain neural network architectures (variation 434),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,Qwen3,technical
Compare different version control strategies (variation 964),['coding'],technical,question,"{'category': 1.0, 'domain': 0.375, 'intent': 0.0, 'overall': 0.8541666666666666}",7,GLM4.5,technical
Evaluate different database management systems (variation 46),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,GLM4.5,technical
Explain how blockchain consensus mechanisms work (variation 848),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,GLM4.5,technical
Explain neural network architectures (variation 230),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Explain cryptocurrency mining mechanisms (variation 606),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Analyze cybersecurity threat landscapes (variation 726),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,Qwen3,technical
Evaluate serverless computing architectures (variation 606),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",6,Qwen3,technical
Compare different machine learning frameworks (variation 61),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",7,Qwen3,technical
Explain container orchestration with Kubernetes (variation 814),"['coding', 'reasoning']",technical,reasoning_task,"{'category': 0.4, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",7,GLM4.5,technical
Analyze cybersecurity threat landscapes (variation 237),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,Qwen3,technical
Compare different API design paradigms (variation 341),"['coding', 'reasoning']",technical,question,"{'category': 0.4, 'domain': 0.25, 'intent': 0.0, 'overall': 0.25}",7,GLM4.5,technical
Compare microservices vs monolithic architectures (variation 772),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",7,GLM4.5,technical
Evaluate edge computing vs cloud computing (variation 112),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",8,GLM4.5,technical
Analyze software testing methodologies (variation 493),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,GLM4.5,technical
Analyze network security vulnerabilities and mitigation (variation 873),['reasoning'],technical,reasoning_task,"{'category': 0.5, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4583333333333333}",8,Qwen3,technical
Evaluate edge computing vs cloud computing (variation 880),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",8,Qwen3,technical
Evaluate different database management systems (variation 814),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,GLM4.5,technical
Review quantum computing developments and applications (variation 336),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",8,GLM4.5,technical
Review quantum computing developments and applications (variation 147),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",8,TNG DeepSeek,technical
Analyze big data processing frameworks (variation 666),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,GLM4.5,technical
Explain how blockchain consensus mechanisms work (variation 428),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,GLM4.5,technical
Evaluate different database management systems (variation 322),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,GLM4.5,technical
Assess the performance of various sorting algorithms (variation 597),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,GLM4.5,technical
Analyze big data processing frameworks (variation 459),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,GLM4.5,technical
Explain cryptocurrency mining mechanisms (variation 379),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,Qwen3,technical
Explain container orchestration with Kubernetes (variation 72),"['coding', 'reasoning']",technical,reasoning_task,"{'category': 0.4, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",7,GLM4.5,technical
Compare different machine learning frameworks (variation 205),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",7,GLM4.5,technical
Compare microservices vs monolithic architectures (variation 472),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",7,GLM4.5,technical
Explain neural network architectures (variation 653),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Analyze cybersecurity threat landscapes (variation 979),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,Qwen3,technical
Explain distributed systems design patterns (variation 854),"['coding', 'reasoning']",technical,reasoning_task,"{'category': 0.75, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.6875}",7,TNG DeepSeek,technical
Compare different cloud computing architectures (variation 178),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",7,GLM4.5,technical
Explain how blockchain consensus mechanisms work (variation 462),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,TNG DeepSeek,technical
Explain how blockchain consensus mechanisms work (variation 766),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",8,GLM4.5,technical
Explain cryptocurrency mining mechanisms (variation 126),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Compare different API design paradigms (variation 476),"['coding', 'reasoning']",technical,question,"{'category': 0.4, 'domain': 0.25, 'intent': 0.0, 'overall': 0.25}",7,Qwen3,technical
Explain cryptocurrency mining mechanisms (variation 787),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Assess the performance of various sorting algorithms (variation 619),['reasoning'],technical,question,"{'category': 0.3, 'domain': 0.25, 'intent': 0.0, 'overall': 0.20833333333333334}",9,GLM4.5,technical
Compare different version control strategies (variation 849),['coding'],technical,question,"{'category': 1.0, 'domain': 0.375, 'intent': 0.0, 'overall': 0.8541666666666666}",7,Qwen3,technical
Evaluate different database management systems (variation 235),"['coding', 'reasoning']",logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",7,GLM4.5,technical
Review quantum computing developments and applications (variation 771),['reasoning'],casual,question,"{'category': 0.3, 'domain': 0.125, 'intent': 0.0, 'overall': 0.16666666666666666}",8,TNG DeepSeek,technical
Analyze software testing methodologies (variation 935),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,GLM4.5,technical
Analyze big data processing frameworks (variation 972),['reasoning'],logical,reasoning_task,"{'category': 0.7, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.5833333333333334}",7,GLM4.5,technical
Evaluate data warehouse design approaches (variation 533),['reasoning'],logical,reasoning_task,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7083333333333334}",7,Qwen3,technical
Evaluate edge computing vs cloud computing (variation 948),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",8,GLM4.5,technical
Analyze software testing methodologies (variation 300),['reasoning'],casual,reasoning_task,"{'category': 0.5, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",6,GLM4.5,technical
Explain distributed systems design patterns (variation 975),"['coding', 'reasoning']",technical,reasoning_task,"{'category': 0.75, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.6875}",7,GLM4.5,technical
Explain neural network architectures (variation 51),['reasoning'],casual,reasoning_task,"{'category': 0.4, 'domain': 0.125, 'intent': 0.6666666666666666, 'overall': 0.375}",6,GLM4.5,technical
Evaluate serverless computing architectures (variation 785),['reasoning'],logical,reasoning_task,"{'category': 0.8, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.625}",6,GLM4.5,technical
Compare different machine learning frameworks (variation 687),"['coding', 'reasoning']",casual,question,"{'category': 0.525, 'domain': 0.125, 'intent': 0.0, 'overall': 0.2604166666666667}",7,TNG DeepSeek,technical
Compare different version control strategies (variation 129),['coding'],technical,question,"{'category': 1.0, 'domain': 0.375, 'intent': 0.0, 'overall': 0.8541666666666666}",7,GLM4.5,technical
Explain container orchestration with Kubernetes (variation 513),"['coding', 'reasoning']",technical,reasoning_task,"{'category': 0.4, 'domain': 0.25, 'intent': 0.6666666666666666, 'overall': 0.4166666666666667}",7,TNG DeepSeek,technical
